"PreyTaxa","POO","RRA","wPOO","Species","reads","species","genus","family","order","class","phylum","commonname","genusgroup","familygroup","ordergroup","generalgroup","averageweight","taxasizegroup"
"Junco hyemalis",4.67836257309941,3.82716049382716,3.95061728395062,"Marten",332209,"Junco hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata","Dark-eyed junco","Juncos","Sparrows","Songbirds","Birds",NA,"BirdsSmall"
"Marmota flaviventris",4.09356725146199,4.44444444444444,4.07407407407407,"Marten",273610,"Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmots","Squirrels","Rodents","Mammals",NA,"MammalsMedium"
"Microtus longicaudus",19.8830409356725,18.5288065843621,18.5185185185185,"Marten",1620246,"Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Long-tailed vole","Voles","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Microtus montanus",1.16959064327485,0.740740740740741,0.740740740740741,"Marten",36994,"Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","Montane vole","Voles","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Microtus sp.",1.75438596491228,1.51234567901235,0.987654320987654,"Marten",470264,"","Microtus","Cricetidae","Rodentia","Mammalia","Chordata","","Voles","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Myadestes townsendi",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",7918,"Myadestes townsendi","Myadestes","Turdidae","Passeriformes","Aves","Chordata","Townsend's solitaire","Solitaires","Thrushes","Songbirds","Birds",NA,"BirdsSmall"
"Neotoma cinerea",5.26315789473684,5.92592592592593,5.92592592592593,"Marten",161969,"Neotoma cinerea","Neotoma","Cricetidae","Rodentia","Mammalia","Chordata","Bushy-tailed woodrat","Woodrats","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Ochotona princeps",1.75438596491228,1.97530864197531,1.85185185185185,"Marten",346010,"Ochotona princeps","Ochotona","Ochotonidae","Lagomorpha","Mammalia","Chordata","American pika","Pika","Pika","Lagomorphs","Mammals",NA,"MammalsSmall"
"Odocoileus sp.",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",421,"","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata","","Deer","Deer and elk","Even-toed ungulates","Mammals",NA,"MammalsLarge"
"Oncorhynchus sp.",1.16959064327485,1.48148148148148,1.48148148148148,"Marten",6168,"","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","","Salmon and trout","Salmon and trout","Salmon and trout","Fishes",NA,"Fishes"
"Oreortyx pictus",1.16959064327485,1.48148148148148,1.48148148148148,"Marten",42282,"Oreortyx pictus","Oreortyx","Odontophoridae","Galliformes","Aves","Chordata","Mountain quail","Mountain quail","Quail","Upland birds","Birds",NA,"BirdsMedium"
"Peromyscus boylii",1.16959064327485,1.11111111111111,1.11111111111111,"Marten",13489,"Peromyscus boylii","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Brush mouse","Mice","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Peromyscus sp.",19.2982456140351,16.9958847736625,17.9012345679012,"Marten",700021,"","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","","Mice","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Phainopepla nitens",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",20386,"Phainopepla nitens","Phainopepla","Ptiliogonatidae","Passeriformes","Aves","Chordata","Phainopepla","Phainopepla","Silky flycatchers","Songbirds","Mammals",NA,"BirdsSmall"
"Phenacomys intermedius",2.33918128654971,2.22222222222222,2.22222222222222,"Marten",183319,"Phenacomys intermedius","Phenacomys","Cricetidae","Rodentia","Mammalia","Chordata","Western heather vole","Heather voles","Cricetids","Rodents","Mammals",NA,"MammalsSmall"
"Pipilo maculatus",1.16959064327485,1.11111111111111,1.11111111111111,"Marten",69147,"Pipilo maculatus","Pipilo","Passerellidae","Passeriformes","Aves","Chordata","Spotted towhee","Towhees","Sparrows","Songbirds","Birds",NA,"BirdsSmall"
"Pseudacris sierra",1.16959064327485,0.987654320987654,1.11111111111111,"Marten",58629,"Pseudacris sierra","Pseudacris","Hylidae","Anura","Amphibia","Chordata","Sierran tree frog","Chorus frogs","Tree frogs","Frogs and toads","Amphibians",NA,"Amphibians"
"Salvelinus sp.",1.16959064327485,0.987654320987654,1.11111111111111,"Marten",39277,"","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","","Salmon and trout","Salmon and trout","Salmon and trout","Fishes",NA,"Fishes"
"Sayornis phoebe",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",50013,"Sayornis phoebe","Sayornis","Tyrannidae","Passeriformes","Aves","Chordata","Eastern phoebe","Phoebes","Tyrant flycatchers","Songbirds","Birds",NA,"BirdsSmall"
"Scapanus latimanus",2.33918128654971,2.59259259259259,2.59259259259259,"Marten",94415,"Scapanus latimanus","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata","Northern broad-footed mole","Moles","Moles","Moles and shrews","Mammals",NA,"MammalsSmall"
"Tamias amoenus",7.60233918128655,8.95061728395062,8.51851851851852,"Marten",933060,"Tamias amoenus","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-pine chipmunk","Chipmunks","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Tamiasciurus douglasii",4.67836257309941,5.06172839506173,5.18518518518519,"Marten",375735,"Tamiasciurus douglasii","Tamiasciurus","Sciuridae","Rodentia","Mammalia","Chordata","Douglas' squirrels","Red squirrels","Squirrels","Rodents","Mammals",NA,"MammalsSmall"
"Thomomys sp.",1.16959064327485,1.48148148148148,1.48148148148148,"Marten",5445,"","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","","Pocket gophers","Pocket gophers","Rodents","Mammals",NA,"MammalsSmall"
"Turdus sp.",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",31750,"","Turdus","Turdidae","Passeriformes","Aves","Chordata","","Thrushes","Thrushes","Songbirds","Birds",NA,"BirdsSmall"
